memberID,rootAccount,ownerID
182156a9-05b9-807a-e063-8d1f19ac2f7c,A70000403,182156a9-1171-807a-e063-8d1f19ac2f7c
03e1b00e-dc36-ef89-e063-8d1f19ac1f78,820000001,03e1b086-0673-ef89-e063-8d1f19ac1f78
03e1b00e-bf94-ef89-e063-8d1f19ac1f78,820000107,03e1b086-02c2-ef89-e063-8d1f19ac1f78
03e1b007-8b8a-ef89-e063-8d1f19ac1f78,820000501,03e1b086-0677-ef89-e063-8d1f19ac1f78
1074133b-680c-6c57-e063-8e1f19ac72c7,960020703,1074133b-680f-6c57-e063-8e1f19ac72c7
132fcd53-1435-8d08-e063-8d1f19ac3082,A60000607,132fcd53-3181-8d08-e063-8d1f19ac3082
182156a8-dd6b-807a-e063-8d1f19ac2f7c,A70000305,182156a8-e923-807a-e063-8d1f19ac2f7c
182156f4-91f5-807e-e063-8d1f19ac1afe,A70000309,182156f4-9dad-807e-e063-8d1f19ac1afe
03e1b04b-d1fb-ef89-e063-8d1f19ac1f78,540009014,03e1b0bd-5838-ef89-e063-8d1f19ac1f78
03e1b00e-de27-ef89-e063-8d1f19ac1f78,820000201,03e1b086-0676-ef89-e063-8d1f19ac1f78
03e1b00e-a2ac-ef89-e063-8d1f19ac1f78,820000209,03e1b085-ff07-ef89-e063-8d1f19ac1f78
03e1b00e-de29-ef89-e063-8d1f19ac1f78,820000301,03e1b086-0679-ef89-e063-8d1f19ac1f78
03e1b011-54a0-ef89-e063-8d1f19ac1f78,960000208,03e1b096-c178-ef89-e063-8d1f19ac1f78
0f656731-4aa1-f8e0-e063-8e1f19ac949a,960020105,0f656731-4aa4-f8e0-e063-8e1f19ac949a
0f64a101-a826-fd0c-e063-8e1f19ac9e12,960020705,0f64a101-a829-fd0c-e063-8e1f19ac9e12
11857c67-09cd-19c8-e063-8d1f19ac3944,960020707,11857c67-09d0-19c8-e063-8d1f19ac3944
132fcd53-1434-8d08-e063-8d1f19ac3082,A60000507,132fcd53-3180-8d08-e063-8d1f19ac3082
03e1b00e-9075-ef89-e063-8d1f19ac1f78,540000202,03e1b057-09f4-ef89-e063-8d1f19ac1f78
03e1b008-dc2a-ef89-e063-8d1f19ac1f78,820000207,03e1b086-02bc-ef89-e063-8d1f19ac1f78
03e1b011-54a1-ef89-e063-8d1f19ac1f78,960000508,03e1b096-c179-ef89-e063-8d1f19ac1f78
132fcd53-162d-8d08-e063-8d1f19ac3082,A60000501,132fcd53-3379-8d08-e063-8d1f19ac3082
182156f4-91ef-807e-e063-8d1f19ac1afe,A70000009,182156f4-9da7-807e-e063-8d1f19ac1afe
182156f4-4237-807e-e063-8d1f19ac1afe,A70000202,182156f4-4def-807e-e063-8d1f19ac1afe
03e1b00d-63b7-ef89-e063-8d1f19ac1f78,540000907,03e1b057-1e11-ef89-e063-8d1f19ac1f78
132fcd53-0e53-8d08-e063-8d1f19ac3082,A60000106,132fcd53-2b9f-8d08-e063-8d1f19ac3082
132fcd53-1433-8d08-e063-8d1f19ac3082,A60000207,132fcd53-317f-8d08-e063-8d1f19ac3082
132fcd53-123d-8d08-e063-8d1f19ac3082,A60000209,132fcd53-2f89-8d08-e063-8d1f19ac3082
182156f4-423a-807e-e063-8d1f19ac1afe,A70000302,182156f4-4df2-807e-e063-8d1f19ac1afe
182156a9-2e50-807a-e063-8d1f19ac2f7c,A70000407,182156a9-3a08-807a-e063-8d1f19ac2f7c
