relative_path,file_size,modified_timestamp,duplicate_hash,planned_action,reason
up-coverage-metrics-kit/up-coverage-metrics-kit/Gitlab V2 Job Log/V3 Unite TestNG reports_files/jsapi_compiled_graphics_module.js.download,24811,2026-06-29T08:40:43.352403,9ad0d8bf9e4659eb,retain_in_new_structure,pre-rebuild inventory
up-coverage-metrics-kit/up-coverage-metrics-kit/Gitlab V2 Job Log/V3 Unite TestNG reports_files/jsapi_compiled_table_module.js.download,2851,2026-06-29T08:40:45.230491,b95e88aa3ddbfb9e,retain_in_new_structure,pre-rebuild inventory
up-coverage-metrics-kit/up-coverage-metrics-kit/Gitlab V2 Job Log/V3 Unite TestNG reports_files/jsapi_compiled_ui_module.js.download,519614,2026-06-29T08:40:44.347983,0867ee1df230c80d,retain_in_new_structure,pre-rebuild inventory
up-coverage-metrics-kit/up-coverage-metrics-kit/Gitlab V2 Job Log/V3 Unite TestNG reports_files/loader.js.download,49299,2026-06-29T08:40:37.947228,15f9c7dcb6d3f3fd,retain_in_new_structure,pre-rebuild inventory
up-coverage-metrics-kit/up-coverage-metrics-kit/Gitlab V2 Job Log/V3 Unite TestNG reports_files/passed.png,1019,2026-06-29T08:40:48.119277,4b0a4eedfa818df1,retain_in_new_structure,pre-rebuild inventory
up-coverage-metrics-kit/up-coverage-metrics-kit/Gitlab V2 Job Log/V3 Unite TestNG reports_files/table.css,10441,2026-06-29T08:40:40.713259,bdfd284557089f41,retain_in_new_structure,pre-rebuild inventory
up-coverage-metrics-kit/up-coverage-metrics-kit/Gitlab V2 Job Log/V3 Unite TestNG reports_files/testng-reports.css,5355,2026-06-29T08:40:33.971569,14b90a2415f8f32c,retain_in_new_structure,pre-rebuild inventory
up-coverage-metrics-kit/up-coverage-metrics-kit/Gitlab V2 Job Log/V3 Unite TestNG reports_files/testng-reports.js.download,3612,2026-06-29T08:40:36.066132,88d2a0988765ed96,retain_in_new_structure,pre-rebuild inventory
up-coverage-metrics-kit/up-coverage-metrics-kit/Gitlab V2 Job Log/V3 Unite TestNG reports_files/testng-reports1.css,7050,2026-06-29T08:40:32.953630,fb091a8a0c0ff41d,retain_in_new_structure,pre-rebuild inventory
up-coverage-metrics-kit/up-coverage-metrics-kit/Gitlab V2 Job Log/V3 Unite TestNG reports_files/testng-reports2.js.download,3618,2026-06-29T08:40:49.095775,0cd0609bd983faf6,retain_in_new_structure,pre-rebuild inventory
up-coverage-metrics-kit/up-coverage-metrics-kit/Gitlab V2 Job Log/V3 Unite TestNG reports_files/tooltip.css,1524,2026-06-29T08:40:38.975515,2cb6d99c8ba2262a,retain_in_new_structure,pre-rebuild inventory
